ID,var_rpta_alt,Prob_uno
254690#159919#928182,1,0.58
371359#970135#110207,1,0.5183
353261#866931#213411,0,0.03
181861#599569#480773,1,0.52
181861#599572#480770,1,0.52
181861#599576#480766,1,0.52
181861#599578#480764,1,0.52
181861#599567#480775,1,0.52
181861#599562#480780,1,0.52
314851#808029#272313,1,0.5009
549919#593000#487342,0,0.37
549919#593095#487247,0,0.37
598232#532707#547635,1,0.605
598232#532638#547704,1,0.605
598232#532678#547664,1,0.605
598232#1024257#56085,0,0.11
598232#653124#427218,1,0.6383
598232#532631#547711,1,0.605
598232#532688#547654,1,0.6383
598232#688044#392298,1,0.6383
598232#532596#547746,1,0.605
598232#532645#547697,1,0.605
598232#653094#427248,1,0.605
598232#532618#547724,1,0.605
598232#532635#547707,1,0.605
598232#532639#547703,1,0.605
598232#234950#847922,0,0.11
598232#532648#547694,1,0.605
598232#532693#547649,1,0.605
441418#380934#698924,0,0.2867
441418#316926#766218,1,0.6435
441418#176897#911209,1,0.6435
261562#999881#80461,1,0.5736
261562#615455#464887,0,0.3875
261562#615520#464822,0,0.3875
261562#615513#464829,0,0.3875
261562#615313#465029,1,0.5736
261562#615286#465056,0,0.3875
261562#615514#464828,0,0.3875
261562#615488#464854,0,0.3875
261562#615349#464993,0,0.3875
261562#615516#464826,0,0.3875
261562#615331#465011,0,0.3875
261562#615531#464811,0,0.3875
261562#615526#464816,0,0.3875
261562#615321#465021,0,0.3875
261562#615554#464788,0,0.3875
261562#615512#464830,0,0.3875
261562#615530#464812,0,0.3875
261562#615524#464818,0,0.3875
261562#615503#464839,0,0.3875
261562#615444#464898,0,0.3875
261562#615546#464796,1,0.5736
261562#615501#464841,0,0.3875
261562#615510#464832,0,0.3875
261562#615537#464805,0,0.3875
261562#615508#464834,0,0.3875
261562#615339#465003,0,0.3875
261562#615511#464831,0,0.3875
261562#615519#464823,0,0.3875
261562#615555#464787,0,0.3875
261562#615536#464806,0,0.3875
261562#615278#465064,0,0.3875
261562#615294#465048,0,0.3875
261562#615517#464825,1,0.5736
261562#615400#464942,0,0.3875
425675#1067216#13126,1,0.7555
315482#812425#267917,0,0.404
325808#402754#677167,1,0.53
325808#290721#792334,1,0.53
113232#980155#100187,1,0.695
113232#980377#99965,1,0.695
113232#980284#100058,1,0.695
113232#980171#100171,1,0.695
113232#980401#99941,1,0.695
113232#980412#99930,1,0.695
113232#983607#96735,1,0.695
113232#980306#100036,1,0.695
561370#945846#134496,1,0.74
596059#522344#557998,0,0.326
596059#694906#385436,0,0.326
596059#501944#578398,1,0.57
596059#522558#557784,0,0.326
596059#522608#557734,0,0.326
557876#364747#715106,1,0.5908
557876#188171#899995,0,0.32
527442#778741#301601,0,0.3775
479246#353592#726275,1,0.65
544279#974944#105398,1,0.7367
263842#987524#92818,1,0.87
526195#405493#674428,1,0.59
174359#360700#719162,1,0.6717
68526#262468#820516,0,0.4033
540797#332472#748107,0,0.327
540797#195921#892336,0,0.327
21552#35795#1069258,0,0.48
21552#357514#722350,0,0.48
431662#815610#264732,1,0.525
431662#815586#264756,1,0.525
554366#175169#912936,0,0.2833
554366#231686#851146,0,0.2833
554366#504184#576158,0,0.2833
479478#1003195#77147,1,0.68
510095#793832#286510,0,0.43
241622#81620#1023626,0,0.41
94963#161765#926340,0,0.47
42691#545956#534386,1,0.49
42691#532600#547742,0,0.3533
42691#532706#547636,0,0.3533
32589#649510#430832,0,0.47
133301#157551#930549,1,0.6
291590#797597#282745,0,0.4817
291590#797593#282749,0,0.4817
291590#797598#282744,0,0.4817
291590#797596#282746,0,0.4817
538297#505858#574484,1,0.5468
538297#505968#574374,1,0.6384
538297#505832#574510,1,0.5468
538297#411299#668625,1,0.5468
538297#198157#890106,1,0.6384
406731#904051#176291,0,0.07
574496#368688#711171,0,0.41
227900#955252#125090,1,0.62
227900#955758#124584,0,0.4788
227900#955601#124741,0,0.4788
227900#955509#124833,0,0.4788
227900#955428#124914,0,0.4788
227900#955569#124773,0,0.4788
227900#955527#124815,0,0.4788
227900#955765#124577,0,0.4788
227900#955501#124841,0,0.4788
227900#955506#124836,0,0.4788
227900#955776#124566,0,0.4788
227900#955558#124784,0,0.4788
227900#955753#124589,0,0.4788
227900#955817#124525,0,0.4788
227900#955270#125072,0,0.4788
227900#955626#124716,0,0.4788
227900#955392#124950,0,0.4788
227900#955330#125012,0,0.4788
227900#955808#124534,0,0.4788
581632#1010363#69979,0,0.4617
581632#5681#1001433,0,0.4617
39899#173325#914797,0,0.28
25396#830524#249818,0,0.4375
314562#780110#300232,1,0.4999
314562#780055#300287,1,0.4999
314562#780056#300286,1,0.4999
539844#1044037#36305,0,0.388
539844#209477#873251,1,0.57
539844#1044431#35911,0,0.388
539844#382626#697224,0,0.388
408546#746965#333377,0,0.415
408546#1038710#41632,0,0.3917
408546#747020#333322,0,0.415
408546#746947#333395,0,0.415
408546#746969#333373,0,0.415
408546#746972#333370,0,0.415
408546#746989#333353,0,0.415
408546#746946#333396,0,0.415
408546#746974#333368,0,0.415
408546#746963#333379,0,0.415
274098#851115#229227,1,0.74
307664#1037345#42997,0,0.438
307664#1037302#43040,0,0.438
307664#1037384#42958,0,0.438
307664#1037313#43029,0,0.438
307664#31424#884827,0,0.438
307664#1037411#42931,0,0.438
307664#1037423#42919,0,0.438
307664#1072859#7483,1,0.51
307664#1037364#42978,0,0.438
307664#1037344#42998,0,0.438
307664#1037289#43053,0,0.438
307664#1037377#42965,0,0.438
307664#1073596#6746,1,0.51
307664#1037441#42901,0,0.438
307664#1037304#43038,0,0.438
307664#1037436#42906,0,0.438
307664#1072830#7512,1,0.51
307664#1037439#42903,0,0.438
307664#1037293#43049,0,0.438
356447#358003#721859,0,0.3825
425552#387890#691962,1,0.505
524341#470658#609684,0,0.3717
629375#1054154#26188,0,0.2965
629375#1054164#26178,1,0.4963
629375#1054176#26166,0,0.2965
629375#1054161#26181,0,0.0
629375#1054173#26169,0,0.2965
629375#1054171#26171,0,0.2965
629375#1054147#26195,0,0.0
629375#1054174#26168,0,0.2965
629375#1054175#26167,0,0.0
629375#1054166#26176,1,0.4963
629375#92264#995499,0,0.2965
629375#1054156#26186,1,0.4963
629375#1054167#26175,0,0.2965
629375#1054163#26179,0,0.2965
629375#1054125#26217,0,0.2965
629375#1054172#26170,1,0.4963
629375#1054157#26185,0,0.2965
629375#1054155#26187,1,0.4963
629375#1054180#26162,0,0.2965
237732#362029#717828,1,0.6333
237732#1019603#60739,0,0.48
279207#770927#309415,1,0.515
601381#542992#537350,1,0.55
601381#542689#537653,1,0.55
601381#543125#537217,1,0.55
601381#705269#375073,1,0.55
601381#543032#537310,1,0.55
601381#543093#537249,1,0.55
601381#542985#537357,1,0.55
601381#542767#537575,1,0.55
601381#543140#537202,1,0.6583
601381#543106#537236,1,0.55
601381#543124#537218,1,0.55
601381#543044#537298,1,0.55
601381#542557#537785,1,0.55
601381#542988#537354,1,0.55
601381#750923#329419,1,0.55
601381#543023#537319,1,0.55
601381#1018130#62212,1,0.55
601381#542642#537700,1,0.55
601381#787751#292591,1,0.55
601381#543116#537226,1,0.55
601381#543033#537309,1,0.55
601381#543025#537317,1,0.55
601381#542848#537494,1,0.55
601381#543024#537318,1,0.55
601381#542811#537531,1,0.55
601381#543114#537228,1,0.55
80079#1063473#16869,0,0.398
595671#221308#861484,0,0.4592
595671#859088#221254,1,0.632
256665#91562#996201,1,0.6817
256665#753897#326445,1,0.6817
256665#973600#106742,1,0.6817
256665#35200#1069853,1,0.6817
164357#760789#319553,0,0.355
334498#768103#312239,0,0.3303
334498#534167#546175,1,0.7032
334498#534165#546177,1,0.7032
334498#534163#546179,1,0.7032
209354#148530#939565,1,0.715
209354#299034#784068,1,0.715
396111#369241#710618,0,0.12
53111#215984#866784,1,0.6033
288918#193237#895010,1,0.75
327739#1063585#16757,0,0.21
327739#76933#1028147,1,0.6617
402296#367297#712562,1,0.52
557944#379484#700370,0,0.22
407125#755905#324437,0,0.33
59553#389569#690279,1,0.6767
488998#201278#886992,1,0.745
281234#350221#730539,0,0.3775
281234#103463#984309,0,0.3775
3440#626328#454014,0,0.2133
3440#626490#453852,0,0.2133
3440#254821#828169,0,0.2133
633104#666511#413831,1,0.6433
222536#1013389#66953,0,0.3131
222536#1013404#66938,0,0.3131
222536#34236#1070796,0,0.3131
222536#1013396#66946,0,0.3131
222536#1013499#66843,0,0.3131
222536#1013423#66919,0,0.3131
222536#1013456#66886,0,0.3131
222536#1013560#66782,0,0.3131
222536#205354#879909,0,0.3131
222536#1013392#66950,0,0.3131
222536#1013515#66827,0,0.3131
222536#1013567#66775,0,0.3131
222536#1013587#66755,0,0.3131
222536#1013557#66785,0,0.3131
222536#1013409#66933,0,0.3131
222536#1013507#66835,0,0.3131
222536#1069713#10629,0,0.3131
222536#197703#890560,1,0.7633
222536#1013504#66838,0,0.3131
222536#1013500#66842,0,0.3131
222536#1013529#66813,0,0.3131
222536#1013424#66918,0,0.3131
222536#1068981#11361,1,0.7633
222536#429440#650557,0,0.3131
272083#649151#431191,0,0.138
576904#747203#333139,0,0.4267
576904#747341#333001,0,0.4267
576904#747409#332933,0,0.4267
576904#747084#333258,0,0.4267
576904#746910#333432,1,0.69
576904#746902#333440,1,0.69
576904#747197#333145,0,0.4267
576904#747399#332943,0,0.4267
576904#747385#332957,1,0.69
304715#559919#520423,1,0.4995
304715#559914#520428,1,0.4995
304715#559918#520424,1,0.4995
304715#559924#520418,1,0.4995
304715#559926#520416,1,0.4995
304715#559923#520419,1,0.4995
30675#1003592#76750,0,0.398
30675#1003392#76950,0,0.4105
30675#1003539#76803,0,0.4105
375764#957601#122741,0,0.2775
626048#11278#1013109,1,0.5175
310144#32216#886351,0,0.44
310144#619041#461301,0,0.3883
310144#1005299#75043,0,0.3883
310144#1005298#75044,0,0.3883
310144#1005300#75042,0,0.3883
310144#1005296#75046,0,0.3883
626336#15790#1073187,1,0.59
626336#1025907#54435,1,0.59
273654#429090#650630,1,0.54
273654#970839#109503,1,0.49
273654#970597#109745,1,0.54
516601#583#877306,0,0.1412
516601#580#1080014,0,0.1412
120468#25500#1000844,1,0.5893
315517#18221#1079618,1,0.51
315517#18221#1062755,1,0.51
315517#18221#1062764,1,0.51
9706#1091#997270,1,0.63
46162#29092#727980,1,0.5733
312757#23401#883523,0,0.43
314000#12404#997636,0,0.408
314000#12404#1003540,0,0.408
314000#12404#1076358,0,0.408
365574#336528#744615,0,0.48
306281#25564#1006945,0,0.275
76524#31233#754410,0,0.42
294909#520417#559925,1,0.7405
294909#520510#559832,1,0.7405
294909#520365#559977,0,0.4517
294909#520515#559827,1,0.7405
534276#1028505#51837,1,0.5917
444843#752837#327505,1,0.7667
49560#850719#229623,1,0.5475
18561#311467#771676,1,0.53
465246#947832#132510,0,0.35
130450#1048306#32036,0,0.4069
70916#621386#458956,0,0.365
70916#621393#458949,0,0.365
70916#621392#458950,0,0.365
70916#621390#458952,0,0.365
70916#621417#458925,0,0.365
70916#621391#458951,0,0.365
70916#621394#458948,0,0.365
334473#94589#993186,0,0.48
334473#381741#698112,0,0.48
334473#254544#828447,0,0.48
410916#125328#962506,1,0.57
410916#369474#710383,1,0.57
80258#736665#343677,0,0.37
152105#854765#225577,1,0.5105
152105#854766#225576,1,0.6958
152105#854822#225520,1,0.5105
152105#854880#225462,1,0.5105
152105#854911#225431,1,0.5105
152105#854895#225447,0,0.1653
152105#854795#225547,1,0.5105
152105#854954#225388,1,0.6958
152105#236061#846848,0,0.1653
152105#854875#225467,1,0.5105
152105#854796#225546,1,0.5105
152105#854798#225544,1,0.6958
152105#854946#225396,1,0.6958
152105#854925#225417,1,0.5105
152105#854797#225545,0,0.1653
152105#854826#225516,0,0.1653
152105#854827#225515,0,0.1653
152105#854832#225510,1,0.5105
152105#854882#225460,1,0.5105
152105#854871#225471,1,0.6958
152105#854881#225461,1,0.5105
152105#854825#225517,1,0.5105
152105#854836#225506,1,0.5105
152105#854820#225522,1,0.5105
152105#854782#225560,1,0.6958
152105#1053778#26564,0,0.1653
161136#860728#219614,1,0.59
445302#313357#769778,1,0.57
445302#392489#687418,1,0.57
445302#141712#946387,1,0.57
564916#1030808#49534,1,0.5717
191538#250926#832074,0,0.46
446883#778111#302231,1,0.73
370255#991403#88939,1,0.51
431808#102076#985695,0,0.2
431808#1064885#15457,0,0.24
355350#56412#1048536,0,0.44
50956#998205#82137,1,0.51
502975#763871#316471,1,0.85
182425#841257#239085,0,0.4533
182425#840997#239345,0,0.4533
182425#841216#239126,0,0.4533
182425#840390#239952,0,0.4533
182425#841249#239093,0,0.4533
182425#841313#239029,0,0.4533
182425#841028#239314,0,0.4533
182425#840939#239403,0,0.4533
182425#840488#239854,0,0.4533
182425#841091#239251,0,0.4533
182425#840820#239522,0,0.4533
182425#841075#239267,0,0.4533
182425#841050#239292,0,0.4533
182425#840567#239775,0,0.4533
182425#841099#239243,0,0.4533
